x,y,heading_rad,speed_mps,accel_mps2,yaw_rate_rad_s,t,torque_cmd,requested_torque,brake_cmd,steer_cmd,lap_count,source,wall_time
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0,piloto,1784516022.657779
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0,piloto,1784516022.782429
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0,piloto,1784516022.8653848
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0,piloto,1784516023.0073507
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0,piloto,1784516023.1309757
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.12000000000000001,0.0,0.0,0.0,0.0,0,piloto,1784516023.2506766
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0,piloto,1784516023.376822
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0,piloto,1784516023.4706798
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0,piloto,1784516023.5706346
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0,piloto,1784516023.6667233
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.21999999999999997,0.0,0.0,0.0,0.0,0,piloto,1784516023.75464
0.5033943816156156,0.0025341125487314997,0.01003305107439052,0.0,0.0,0.0,0.23999999999999996,0.0,0.0,0.0,0.0,0,piloto,1784516023.8560128
