X,Y
0.0,0.0
-0.16255328303140004,18.856180831641254
-1.9506393963766868,24.382992454708543
-5.201705057004489,28.609377813524688
-10.078303547946177,31.697890191121104
-15.605115171013452,32.67320988930942
-52.17960385307626,32.835763172340805
-57.38130891008075,31.860443474152476
-61.77024755192828,31.047677058995518
-66.3217394768072,32.18555004021526
-71.3608912507803,33.32342302143499
-75.74982989262783,32.51065660627805
-79.48855540234982,30.885123775964132
-83.87749404419733,32.835763172340805
-87.94132611998211,34.46129600265472
-92.49281804486102,32.34810332324666
-103.05878144190139,31.860443474152476
-106.30984710252919,29.74725079474439
-109.56091276315699,27.796611398367716
-113.29963827287897,29.259590945650245
-114.76261782016148,31.372783625058318
-120.61453600929153,31.210230342026918
-125.49113450023323,29.74725079474439
-128.74220016086105,26.17107856805383
-129.7175198590494,21.782139926206284
-129.3924132929866,17.393201284358767
-126.62900748145296,13.81702905766818
-123.37794182082516,11.37872981219732
-118.17623676382068,10.891069963103135
-113.46219155591035,11.05362324613452
-107.93537993284309,10.891069963103135
-101.75835517765026,10.565963397040377
-96.88175668670856,10.565963397040377
-90.86728521454712,10.240856830977577
-85.01536702541708,9.590643698852034
-81.60174808175788,7.477451019443961
-79.81366196841259,4.388938641847545
-78.67578898719285,1.4629795472825151
-77.70046928900452,-1.1378729812197292
-76.4000430247534,-5.201705057004489
-74.77451019443949,-8.940430566726462
-73.31153064715699,-12.679156076448436
-71.03578468471751,-16.417881586170424
-67.62216574105832,-18.856180831641268
-63.23322709921078,-19.83150052982961
-58.35662860826908,-18.531074265578482
-53.967689966421545,-17.880861133452925
-49.25364475851124,-19.018734114672654
-46.32768566394621,-21.94469320923767
-45.02725939969508,-26.4961851341166
-45.51491924878924,-30.885123775964146
-49.09109147547984,-35.11150913478028
-54.29279653248433,-37.22470181418836
-60.14471472161438,-38.52512807843947
-66.4842927598386,-40.15066090875338
-72.01110438290586,-41.61364045603589
-78.67578898719285,-43.40172656938118
-84.3651538932915,-43.07662000331841
-88.59153925210765,-39.33789449359643
-90.37962536545295,-34.298742719623334
-92.33026476182962,-29.584697511713017
-95.41877713942606,-19.34384068073544
-97.69452310186551,-12.841709359479836
-101.59580189461887,-0.8127664151569576
-103.70899457402695,7.314897736412547
-100.62048219643054,11.37872981219732
-94.11835087517494,10.565963397040377
-80.46387510053815,9.428090415820634
-74.44940362837671,8.77787728369509
-63.88344023133635,7.965110868538105
-53.31747683429599,6.9897911703497755
-43.40172656938118,5.526811623067275
-35.76172226690585,4.876598490941689
-28.60937781352466,4.226385358816145
-24.870652303802686,3.5761722266905878
-21.294480077112127,-0.4876598490941717
-17.718307850421525,-2.9259590945650302
-12.354049510385664,-2.76340581153363
-6.9897911703497755,-2.9259590945650302
-2.6008525285022586,-4.876598490941703
1.1378729812197435,-8.940430566726462
2.9259590945650302,-14.142135623730951
2.275745962439487,-19.83150052982961
0.6502131321255433,-23.57022603955157
-5.201705057004489,-28.121717964430502
-11.21617652916592,-31.372783625058318
-16.417881586170424,-34.46129600265471
-21.944693209237684,-39.012787927533644
-27.30895154927356,-41.93874702209867
-33.160869738403605,-42.42640687119284
-36.73704196509418,-45.514919248789255
-39.988107625721995,-49.416198041542614
-45.84002581485203,-49.90385789063679
-49.9038578906368,-51.04173087185654
-51.52939072095069,-53.96768996642155
-53.480030117327374,-57.21875562704934
-56.893649060986576,-59.8196081555516
-62.095354117991064,-60.14471472161436
-67.62216574105832,-57.86896875917492
-72.66131751503143,-55.02428630612566
-77.8630225720359,-52.34215713610764
-81.92685464782066,-50.06641117366819
-85.99068672360542,-48.115771777291506
-91.19239178060991,-45.5149192487893
-99.15750264914803,-40.963427323910324
-105.00942083827806,-39.50044777662782
-109.3983594801256,-40.15066090875338
-112.64942514075341,-42.91406672028702
-114.6000645371301,-47.62811192819733
-113.94985140500452,-52.34215713610764
-110.86133902740812,-56.243435928861004
-107.12261351768615,-58.03152204220631
-98.34473623399107,-60.63237457070855
-93.63069102608074,-60.63237457070855
-89.40430566726461,-59.16939502342603
-85.82813344057402,-59.00684174039465
-83.38983419510318,-63.07067381617941
-80.78898166660093,-67.62216574105832
-76.07493645869062,-69.7353584204664
-72.66131751503143,-70.38557155259195
-68.76003872227805,-70.71067811865474
