X,Y
0.0,0.0
13.503173897866802,-8.286038528236446
16.572077056472907,-9.206709475818279
20.254760846800238,-8.59292884409706
23.323664005406286,-7.5188127385849555
27.00634779573359,-8.899819159957659
30.382141270200307,-9.820490107539491
33.451044428806384,-9.206709475818279
35.90616695569129,-7.979148212375847
38.66817979843678,-7.672257896515227
41.430192641182245,-8.59292884409706
44.49909579978835,-8.899819159957659
46.03354737909142,-6.444696633072795
43.88531516806715,-3.9895741061879164
41.12330232532163,-1.8413418951636515
38.97507011429737,0.6137806317212195
36.51994758741252,3.68268379032731
33.757934744667025,11.661832002703157
33.451044428806384,16.878967372333527
34.98549600810945,23.63055432126692
37.74750885085494,28.233909059176078
41.73708295704289,30.995921901921555
45.726657063230775,32.53037348122461
50.63690211700053,32.83726379708521
54.31958590732786,31.302812217782154
58.002269697655166,27.313238111594238
63.52629538314612,27.313238111594238
69.66410170035833,30.07525095433973
73.65367580654625,33.75793474466703
76.41568864929171,38.9750701142974
77.02946928101294,43.885315168067144
75.80190801757051,50.33001180113995
71.8123339113826,56.467818118352135
69.35721138449772,60.764282540400664
65.06074696244919,67.82275980519466
61.378063172121855,73.96056612240687
56.46781811835213,82.55349496650393
51.25068274872176,90.83953349474038
42.96464422048531,104.64959770846781
31.30281221778212,123.98368760768619
30.68903158606092,127.66637139801352
28.233909059176042,131.04216487248019
24.858115584709324,133.80417771522568
20.254760846800238,135.03173897866813
13.810064213727443,136.25930024211058
7.365367580654635,135.95240992624997
3.068903158606105,134.11106803108632
-2.148232211024279,130.7352745566196
-7.058477264794021,126.13191981871046
-14.423844845448656,118.76655223805582
-23.630554321266928,110.4805137098194
-24.85811558470938,107.10472023535266
-25.16500590056998,104.3427073926072
-27.006347795733646,100.35313328641928
-30.995921901921562,98.81868170711621
-35.90616695569132,97.28423012781317
-36.51994758741253,92.68087538990403
-38.975070114297395,88.69130128371611
-43.88531516806715,87.46374002027366
-46.647328010812615,84.39483686166759
-70.27788233207957,45.4197667473702
-72.11922422724322,42.96464422048532
-76.41568864929175,42.65775390462472
-78.56392086031602,39.588850746018615
-77.33635959687359,36.213057271551925
-80.09837243961906,30.689031586060942
-100.9669139181405,-8.899819159957659
-102.19447518158293,-16.572077056472907
-100.9669139181405,-22.709883373685088
-98.20490107539501,-26.392567164012405
-93.90843665334648,-29.461470322618503
-86.84995938855246,-30.995921901921555
-78.87081117617663,-28.54079937503667
-73.96056612240687,-23.323664005406307
-67.20897917347347,-11.968722318563763
-58.616050329376414,0.9206709475818329
-50.33001180113996,15.037625477169861
-38.054399166715584,34.06482506052766
-36.21305727155192,38.9750701142974
-37.13372821913376,44.49909579978837
-34.371715376388266,47.87488927425506
-30.382141270200336,47.26110864253385
-26.699457479873033,48.7955602218369
-26.392567164012434,53.70580527560664
-24.551225268848768,57.38848906593396
-18.720309267497186,57.08159875007333
-15.651406108891095,58.3091600135158
-15.651406108891095,62.60562443556433
-15.344515793030467,66.28830822589165
-11.354941686842565,67.20897917347344
-8.592928844097074,66.28830822589165
-5.830916001351596,71.505443595522
-4.910245053769756,76.10879833343114
-4.910245053769756,82.24660465064332
-3.989574106187945,88.69130128371611
0.0,93.90843665334648
4.29646442204853,97.28423012781317
10.127380423400112,98.81868170711621
16.265186740612265,98.81868170711621
19.947870530939596,96.97733981195256
24.244334952988126,93.90843665334648
26.39256716401239,90.53264317887977
28.540799375036656,84.39483686166759
29.154580006757854,80.71215307134028
32.53037348122457,77.33635959687356
31.916592849503374,73.65367580654626
28.233909059176042,74.26745643826749
24.858115584709324,74.88123706998869
19.640980215078983,64.44696633072795
15.651406108891067,61.07117285626129
8.592928844097074,59.2298309610976
6.7515869489333795,55.854037486630894
5.830916001351568,51.25068274872178
2.148232211024265,48.18177959011569
-2.4551225268848924,44.805986115648984
-3.068903158606105,39.588850746018615
-6.444696633072809,34.98549600810947
-10.127380423400126,32.223483165363994
-11.354941686842565,26.392567164012412
-14.730735161309255,14.730735161309262
-15.037625477169868,11.661832002703157
-12.58250295028499,7.3653675806546275
-7.058477264794021,4.296464422048537
0.0,0.0
